柳宗元, 子厚,柳河东, 柳柳州 ,,,,
欧阳修, 永叔, 醉翁, 六一居士, 欧九, 欧阳文忠,,
袁宏道, 中郎, 又无学, 石公 ,,,,
袁枚, 子才, 简斋 , 随园老人,,,,
陆游, 务观, 放翁 , 海棠颠南, 小李白 , 龟堂病叟,,
韩愈, 韩昌黎, 韩十八, 韩吏部, 韩文公 ,,,
苏轼, 东坡居士, 诗神, 苏赵郡, 苏学士 ,子瞻,和仲,苏东坡
王安石, 半山, 王文公, 王临川, 王荆公 ,,,
李白, 诗仙, 青莲居士, 李谪仙, 李十二 ,太白,,
杜牧, 杜紫薇, 小杜 ,,,,,
贺知章, 诗狂, 四明狂客, 贺八, 贺秘监 ,,,
王维, 诗佛, 王右丞,,,,,
白居易, 白二十二, 白司马, 诗魔, 白香山, 香山居士 ,,
秦少游, 秦七秦学士山抹微云君 ,,,,,,
黄庭坚, 黄八, 涪翁, 山谷道人, 贫乐斋 ,,,
李清照, 易安居士,,,,,,
司马光, 司马温公, 迁叟, 涞水先生 ,,,,
陶渊明, 五柳先生, ,,,,,
辛弃疾, 稼轩居士 ,幼安,,,,,
杜甫, 杜拾遗, 杜工部, 诗圣, 少陵野老, 杜少陵 ,子美,
范仲淹, 范文正, 范大将军 ,,,,,
金心农, 出家庵粥饭僧 ,,,,,,
唐伯虎, 六如居士 ,唐寅,,,,,
苏询, 苏老泉 ,,,,,,
陆羽, 桑萱翁, 倚松老人 ,,,,,
杨万里, 杨诚斋,,,,,,
姚鼐, 姚惜抱, 惜抱先生 ,,,,,
蒲松龄, 聊斋先生, 柳泉 ,,,,,
元稹, 元九, 威明 ,,,,,
苏辙, 颖滨遗老, 苏栾城,,,,,
王昌龄, 七绝圣手, 诗家天子, 王江宁, 王龙标 ,,,
左光斗, 左忠毅,,,,,,
史可法, 史忠烈 ,,,,,,
李煜, 李后主,,,,,,
王勃, 诗杰,,,,,,
孟浩然, 孟襄阳,,,,,,
李渔, 笠翁,,,,,,
关汉卿, 已斋叟 ,,,,,,
陈子昂, 诗骨 ,,,,,,
贾岛, 贾长江, 诗奴 ,,,,,
刘长卿, 刘随州, 五言长城,,,,,
贾谊, 贾长沙, 贾太傅,,,,,
李商隐, 玉溪生, 樊南生 ,,,,,
文天祥, 文山, 履善, 宋瑞, 浮休道人, 三了道人, 文丞相, 文信国
骆宾王, 骆临海, 算博士,,,,,
岑参, 岑嘉州徐光启, 徐文定 , 岑嘉州,,,,
诸葛亮, 诸葛武侯, 卧龙, 孔明,,,,
谢灵运, 谢康乐 ,,,,,,
纪昀, 纪文达, 纪大烟袋 ,,,,,
白朴, 兰谷先生 ,,,,,,
米芾, 海岳外史, 鹿门居士, 米颠, 襄阳漫士, 米襄阳 ,,
曹植, 曹七步, 陈思王, 子建,,,,
王羲之, 王右军, 澹斋 ,,,,,
柳永, 柳屯田, 柳七 ,,,,,
刘禹锡, 刘宾客, 诗豪,,,,,
冯梦龙, 顾曲散人, 墨憨斋主人,,,,,
戴震, 杲溪, 皖派宗师 ,,,,,
张九龄, 张曲江,,,,,,
阮大铖, 百子山樵 ,,,,,,
朱熹, 朱文公, 晦庵, 紫阳,,,,
汤显祖, 汤临川, 若士, 海若,,,,
顾炎武, 顾亭林,,,,,,
马致远, 东篱 ,,,,,,
温庭筠, 温钟馗上, 温八叉, 名岐, 飞卿,,,
周敦颐, 濂川先生,,,,,,
嵇康, 嵇中散,,,,,,
阮籍, 阮步兵 ,,,,,,
王士禛, 王桐花, 渔洋山人,,,,,
谢道韫, 柳絮才 ,,,,,,
崔珏, 崔鸳鸯,,,,,,
归有光, 震川先生,,,,,,
石涛, 苦瓜和尚, 道济, 原济,,,,
班超, 班定远 ,,,,,,
谢逸, 谢蝴蝶,,,,,,
张继, 张祠部 ,,,,,,
曾巩, 曾文定, 南丰先生,,,,,
刘传馨, 爱莲居士 ,,,,,,
班固, 班兰台,,,,,,
司马迁, 太史公 ,,,,,,
曹雪芹, 芹圃, 芹溪,,,,,
蔡邕, 蔡中郎 ,,,,,,
赵孟頫, 甲寅人 ,,,,,,
朱耷, 八大山人, 雪个, 个山, 传綮, 人屋, 驴屋 ,
张岱, 陶庵 ,,,,,,
吴趼人, 我佛山人,,,,,,
刘鹗, 洪都百炼生 ,,,,,,
王诩, 鬼谷子 ,,,,,,
郑板桥, 康熙秀才, 雍正举人, 乾隆进士之斋 ,,,,
王夫之, 南岳卖姜翁, 姜斋, 船山先生,,,,
吴承恩, 射阳山人,,,,,,
罗贯中, 湖海散人 ,,,,,,
孟郊, 诗囚, 寒酸夫子 ,,,,,
李贺, 诗鬼, 长爪郎, 昌谷 ,,,,
龚自珍, 尔玉, 易简, 伯定, 巩祚, 定庵诗 ,,
毛泽东,毛润之,毛润芝,毛主席,,,,
孙中山,孙文,孙逸仙,,,,,
曹操, 孟德,,,,,,
曹丕, 子桓,,,,,,
曹彰, 子文,,,,,,
曹昂, 子修,,,,,,
曹洪, 子廉,,,,,,
曹仁, 子孝,,,,,,
司马懿, 仲达,,,,,,
夏侯惇, 元让,,,,,,
张辽, 文远,,,,,,
许褚, 仲康,,,,,,
郭嘉, 奉孝,,,,,,
夏侯渊, 妙才,,,,,,
张郃, 儁乂,,,,,,
徐晃, 公明,,,,,,
荀彧, 文若,,,,,,
邓艾, 士载,,,,,,
贾诩, 文和,,,,,,
庞德, 令明,,,,,,
于禁, 文则,,,,,,
乐进, 文谦,,,,,,
李典, 曼成,,,,,,
司马昭, 子上,,,,,,
司马师, 子元,,,,,,
司马炎, 安世,,,,,,
曹真, 子丹,,,,,,
曹爽, 昭伯,,,,,,
荀攸, 公达,,,,,,
程昱, 仲德,,,,,,
郝昭, 伯道,,,,,,
王双, 子全,,,,,,
钟会, 士季,,,,,,
杨修, 德祖,,,,,,
郭淮, 伯济,,,,,,
孙礼, 德达,,,,,,
秦朗, 元明,,,,,,
华歆, 子鱼,,,,,,
王朗, 景兴,,,,,,
刘晔, 子扬,,,,,,
臧霸, 宣高,,,,,,
陈琳, 孔璋,,,,,,
任峻, 伯达,,,,,,
史涣, 公刘,,,,,,
朱灵, 文博,,,,,,
文聘, 仲业,,,,,,
刘备, 玄德,,,,,,
关羽, 云长,,,,,,
张飞, 翼德,,,,,,
赵云, 子龙,,,,,,
马超, 孟起,,,,,,
黄忠, 汉升,,,,,,
魏延, 文长,,,,,,
庞统, 士元,,,,,,
姜维, 伯约,,,,,,
刘禅, 公嗣,,,,,,
马良, 季常,,,,,,
马谡, 幼常,,,,,,
法正, 孝直,,,,,,
徐庶, 元直,,,,,,
严颜, 希伯,,,,,,
马岱, 伯瞻,,,,,,
李严, 正方,,,,,,
关平, 定国,,,,,,
王平, 子均,,,,,,
杨仪, 威公,,,,,,
廖化, 元俭,,,,,,
关兴, 安国,,,,,,
孙乾, 公佑,,,,,,
简雍, 宪和,,,,,,
糜芳, 子方,,,,,,
糜竺, 子仲,,,,,,
孙权, 仲谋,,,,,,
甘宁, 兴霸,,,,,,
吕蒙, 子明,,,,,,
黄盖, 公覆,,,,,,
周瑜, 公瑾,,,,,,
陆逊, 伯言,,,,,,
孙坚, 文台,,,,,,
孙策, 伯符,,,,,,
太史慈, 子义,,,,,,
周泰, 幼平,,,,,,
鲁肃, 子敬,,,,,,
张昭, 子布,,,,,,
张紘, 子纲,,,,,,
程普, 德谋,,,,,,
韩当, 义公,,,,,,
凌统, 公绩,,,,,,
凌操, 公决,,,,,,
徐盛, 文向,,,,,,
诸葛瑾, 子瑜,,,,,,
陆抗, 幼节,,,,,,
周鲂, 子鱼,,,,,,
华佗, 元化,,,,,,
吕布, 奉先,,,,,,
袁绍, 本初,,,,,,
颜良, 文恒,,,,,,
董卓, 仲颖,,,,,,
左慈, 元放,,,,,,
陈宫, 公台,,,,,,
公孙瓒, 伯珪,,,,,,
袁术, 公路,,,,,,
刘璋, 季玉,,,,,,
刘表, 景升,,,,,,
刘繇, 正礼,,,,,,
陶谦, 恭祖,,,,,,
田丰, 元皓,,,,,,
许攸, 子远,,,,,,
郭图, 公则,,,,,,
袁谭, 显思,,,,,,
袁熙, 显奕,,,,,,
袁尚, 显甫,,,,,,
淳于琼, 仲简,,,,,,
逢纪, 元图,,,,,,
审配, 正南,,,,,,
蒋奇, 义渠,,,,,,
李傕, 稚然,,,,,,
郭汜, 亚多,,,,,,
华雄, 子健,,,,,,
马腾, 寿成,,,,,,
孔融, 文举, 孔北海,,,,,
蔡瑁, 德珪,,,,,,
祢衡, 正平,,,,,,
